Agency Name,Website,City,State,Owner/Contact Name,Email,Phone,Source,Fit Score,Message Angle,Initial Contact Date,Channel,Status,Reply,Demo Booked,Next Step,Follow-up Date,Notes
Access Home Care Incorporated,https://accessphl.com,Philadelphia,PA,,AccessPHL@gmail.com,"(267) 388-1001",Day 12 prospect list,5,Family updates,,Email + Call,Queued,,,Send short pain email then call front desk same day,,High-fit private-duty target with both email and phone
Alice Home Care,https://www.alicehomecare.com,Alameda,CA,,info@alicehomecare.com,"(510) 924-8529",Day 12 prospect list,5,Family updates,,Email + Call,Queued,,,Send short pain email then call for owner/admin name,,Has direct info inbox and phone
Ata&Ana,https://ataanah.com,Alexandria,VA,,services@ataanah.com,"(571) 449-7402",Day 12 prospect list,5,Family updates,,Email + Call,Queued,,,Send short pain email then call for operations lead,,Top 10 pilot candidate from Day 12 review
Caring Hands In-Home Care,,Torrance,CA,,,"(310) 292-8425",Day 12 prospect list,5,Caregiver accountability,,Call,Queued,,,Call and ask for owner/admin contact,,Phone-only target
Comfi-Kare Homecare,https://www.comfikare.com,Gaithersburg,MD,,info@comfikare.com,"(240) 750-6617",Day 12 prospect list,5,Family updates,,Email + Call,Queued,,,Send short pain email then call same day,,Top 10 pilot candidate from Day 12 review
HomeAide Home Care,https://www.homeaidehomecare.com,Hayward,CA,,,"(510) 247-1200",Day 12 prospect list,5,Proof-of-care,,Call,Queued,,,Call and test proof-of-care angle,,Top-fit but phone-only
Professional Helping Hands,https://www.phhands.com,Highland Park,NJ,,marty@phhands.com,"(732) 207-3195",Day 12 prospect list,5,Caregiver accountability,,Email + Call,Queued,,,Send email then call Marty directly,,Named email makes this stronger than generic inboxes
Quality Home Care LLC,,Owings Mills,MD,,,"(443) 791-8298",Day 12 prospect list,5,Family updates,,Call,Queued,,,Call and verify owner/admin email,,Top-fit but missing email
Ready Hands Inc,,Alexandria,VA,,,"(703) 750-3170",Day 12 prospect list,5,Family updates,,Call,Queued,,,Call and ask how families get updates after visits,,Top 10 pilot candidate from Day 12 review
Uptown Homecare,https://uptownhomecare.com,Houston,TX,,,"(713) 980-3930",Day 12 prospect list,5,Family updates,,Call,Queued,,,Call and push for named decision-maker,,Top 10 pilot candidate from Day 12 review
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
