Agency Name,Website,City,State,Owner/Contact Name,Email,Phone,Agency Type,Estimated Size,Family Update Signal,Current Software Mentioned,Fit Score,Outreach Sent,Call Attempted,Response,Next Step,Notes
Ata&Ana,https://sites.google.com/ataana.health/ataana/,Alexandria,VA,Front desk / intake,services@ataanah.com,(571) 449-7402,Non-medical home care,Small,Non-medical personal assistance and family support language,,5,,,,Send pain-first email then call,Direct email available and local Virginia operator
Silver Care LLC,https://www.yellowpages.com/norfolk-va/mip/silver-care-llc-544474145,Norfolk,VA,Front desk / intake,,(757) 000-0000,Companion care,Small,Medication reminders and homemaker services mentioned,,4,,,,Call first and verify family-update pain,Small operator with companion care focus
Eveready Home Care,https://www.yellowpages.com/dumfries-va/mip/eveready-home-care-504686970,Dumfries,VA,Front desk / intake,,(703) 496-4300,Home care agency,Small,Medication reminders and personal care mentioned,,4,,,,Call first and verify family-update pain,Northern Virginia and operationally relevant
Greater Compassion Home Health Care Inc,https://www.yellowpages.com/alexandria-va/mip/greater-compassion-home-health-care-inc-503029927,Alexandria,VA,Front desk / intake,,(703) 884-1018,Home care agency,Small,Respite and Alzheimer support language mentioned,,4,,,,Call first and verify family-update pain,Strong local fit but verify private pay mix
Ready Hands Inc,http://www.readyhands.com,Alexandria,VA,Front desk / intake,,(703) 750-3170,Private duty home care,Mid,Private duty senior care and personal care positioning,,5,,,,Call first and verify family-update pain,Excellent first pilot candidate in core region
Arcadia Home Care & Staffing,https://www.arcadiahomecare.com,Norfolk,VA,Front desk / intake,,(757) 480-2929,Private duty home care,Mid,Companionship and medication reminders language,,3,,,,Call first and verify family-update pain,Operationally relevant but larger and more established
Quality Home Care LLC,https://www.yellowpages.com/owings-mills-md/mip/quality-home-care-llc-506115349,Owings Mills,MD,Front desk / intake,,(443) 791-8298,Home care agency,Small,Family mission and companion aide positioning,,5,,,,Call first and verify family-update pain,Strong Maryland pilot candidate
InTouch Healthcare Solutions,https://www.yellowpages.com/greenbelt-md/mip/intouch-healthcare-solutions-482444596,Greenbelt,MD,Front desk / intake,,(240) 743-6063,In-home care,Small,Everyday support and trusted care language,,4,,,,Call first and verify family-update pain,Good fit if decision maker reachable
Comfi-Kare Homecare,https://sites.google.com/view/homecareservicesforseniors/about-us,Gaithersburg,MD,Front desk / intake,info@comfikare.com,(240) 750-6617,In-home senior care,Small,Family peace of mind and routine support language,,5,,,,Send pain-first email then call,Direct email and strong family communication angle
Peace & Love Health Care Services,https://www.yellowpages.com/windsor-mill-md/mip/peace-love-health-care-services-25461046,Windsor Mill,MD,Front desk / intake,,(410) 505-8636,Home care agency,Small,Trusted partner and family language mentioned,,3,,,,Call first and verify family-update pain,Could skew more medical than ideal
Companion Home Care Inc,https://www.yellowpages.com/dundalk-md/companion-home-care-inc,Baltimore,MD,Front desk / intake,,(410) 583-0447,Private duty companion care,Small,Private duty companions in home setting,,4,,,,Call first and verify family-update pain,Private duty signal is useful
Esthers Home Care LLC,https://esthershomecare.com,Baltimore,MD,Front desk / intake,,(443) 590-1013,Home care agency,Small,Companion care and local ownership feel,,4,,,,Call first and verify family-update pain,Promising but verify direct contact
Precious Hearts Companion Care Inc,https://www.yellowpages.com/dundalk-md/companion-home-care-inc,Windsor Mill,MD,Front desk / intake,,(410) 963-1519,Companion care,Small,Companion care positioning on local directory,,3,,,,Call first and verify family-update pain,Needs direct site and decision maker lookup
Dove Home Assistance Agency LLC,https://www.yellowpages.com/washington-dc/mip/dove-home-assistance-agency-llc-532191927,Washington,DC,Front desk / intake,,(240) 481-4979,Home care agency,Small,Home care and household support listing language,,4,,,,Call first and verify family-update pain,Good DC candidate for small pilot
Access Home Care Incorporated,https://sites.google.com/view/wwwaccesscare1com/home,Philadelphia,PA,Front desk / intake,AccessPHL@gmail.com,(267) 388-1001,Personal care and respite,Small,Dignity respect and family treatment language,,5,,,,Send pain-first email then call,Independent operator with direct email
Wyncote Wellness,https://sites.google.com/wyncotewellness.org/wyncote/about-us,Wyncote,PA,Front desk / intake,,,Home care agency,Small,Family means to us wording on site,,4,,,,Research better contact,Good local language but contact details need work
Comforting Home Care Allentown,https://www.yellowpages.com/allentown-pa/mip/comforting-home-care-allentown-497667924,Allentown,PA,Front desk / intake,,(866) 276-3572,Independent home care,Mid,Not a franchise and nurse owned language,,4,,,,Call first and verify family-update pain,Relevant service mix and strong care story
Expert Home Care Inc,https://sites.google.com/view/experthomecareinc/home,Feasterville-Trevose,PA,Front desk / intake,help@expertcares.com,(215) 364-0554,Home care services,Mid,Patient and family respect language,,4,,,,Send pain-first email then call,Direct email available and likely worth testing
KeystoneCare At Home,https://keystonecareathome.com,North Wales,PA,Front desk / intake,,(215) 855-9400,Home care services,Mid,Home support and family peace of mind language,,3,,,,Call first and verify family-update pain,Slightly more established than ideal but still relevant
365 Health Services,https://www.365healthservices.com,Philadelphia,PA,Front desk / intake,,(215) 821-8544,Home care services,Mid,Care coordination and family support language,,3,,,,Call first and verify family-update pain,Broader service footprint lowers fit slightly
Health and Comfort Home Care Agency,https://www.yellowpages.com/north-brunswick-nj/mip/health-and-comfort-home-care-agency-22629323,North Brunswick,NJ,Front desk / intake,,(732) 246-8555,Home care agency,Mid,Personalized care and Alzheimer support mentioned,,3,,,,Call first and verify family-update pain,Could have more process overhead than ideal
Helping Hands Homecare,https://www.yellowpages.com/clark-nj/mip/helping-hands-homecare-457306625,Clark,NJ,Front desk / intake,,(908) 451-0715,Senior home care,Mid,Companion services and respite care language,,3,,,,Call first and verify family-update pain,Service fit is decent but may be broader operator
Bergen Care Personal Touch Home Care,https://www.yellowpages.com/westwood-nj/mip/bergen-care-personal-touch-home-care-5397876,Westwood,NJ,Front desk / intake,,(201) 666-9000,Personal touch home care,Mid,Quality care delivered in home language,,3,,,,Call first and verify family-update pain,Relevant but more mature business
